"Administrative Unit Number","School Number","Institution Name","Address","Address Line 2 ","City","State","Zip Code","Zip Code Extension","Latitude","Longitude","WebAddress","Grades","Georeferenced Latitude & Longitude"
"919350965","0","Scranton Public Library","Albright Mem Bldg, 500 Vine St",,"Scranton","PA","18509","3298","41.4110069","-75.659584","https://lclshome.org/b/albright-memorial-library/",,"POINT (-75.659584 41.4110069)"
"127045853","700","Riverside HS","300 Country Club Dr",,"Ellwood City","PA","16117","4999","40.8317039","-80.25944792","http://www.riverside.k12.pa.us","12-Sep","POINT (-80.25944792 40.8317039)"
"908050033","0","Bedford County Federated Library System","240 South Wood St",,"Bedford","PA","15522","1453","40.0168185","-78.4961158","http://www.bedfordcountylibrary.com",,"POINT (-78.4961158 40.0168185)"
"303020085","0","Euro Academy","210 Pearce Mill Rd",,"Wexford","PA","15090",,"40.66253","-80.032771","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-80.032771 40.66253)"
"129546103","3915","Clarke El Ctr","601 North 16th St",,"Pottsville","PA","17901",,"40.68370474","-76.21802327","http://www.pottsville.k12.pa.us","K5F-4","POINT (-76.21802327 40.68370474)"
"214063252","0","Kings Academy","1562 Main St",,"Mohrsville","PA","19541",,"40.480676","-75.994258","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-75.994258 40.480676)"
"121392303","2808","Jefferson El Sch","520 Elm St",,"Emmaus","PA","18049","2421","40.53699944","-75.49672371","http://www.eastpennsd.org","K5F-5","POINT (-75.49672371 40.53699944)"
"121131507","4870","Carbon Career & Technical Institute","150 West 13th Street",,"Jim Thorpe","PA","18229","1821","40.884295","-75.728092","http://www.carboncti.org","12-Sep","POINT (-75.728092 40.884295)"
"213366502","0","Rocky Ridge School","351 Clear View Rd","RD 2, Box 53","Lancaster","PA","17602",,"40.00353","-76.208841","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-76.208841 40.00353)"
"225231602","0","Cardinal Ohara High School","1701 S Sproul Rd",,"Springfield","PA","19064","1199","39.947643","-75.348368","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-75.348368 39.947643)"
"115509998","0","Loysville Youth Dev Ctr","10 Opportunity Drive","Loysville Complex","Loysville","PA","17047","9754","40.368736","-77.34728","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-77.34728 40.368736)"
"213360071","0","West Cocalico Mennonite School","105 Marsh Road",,"Reinholds","PA","17569",,"40.28546","-76.148411","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-76.148411 40.28546)"
"906610512","0","Oil Region Library Association","2 Central Ave",,"Oil City","PA","16301","2764","41.4289209","-79.7114598","https://oilcreek.org/",,"POINT (-79.7114598 41.4289209)"
"105201352","1654","Meadville Area SHS","930 North St",,"Meadville","PA","16335","2150","41.635474","-80.127917","http://www.craw.org","12-Sep","POINT (-80.127917 41.635474)"
"111343603","8452","East Juniata El Sch","54 Main St",,"Richfield","PA","17086","188","40.686686","-77.12183","http://www.jcsdk12.org/","K5F-6","POINT (-77.12183 40.686686)"
"112676203","4599","Delta-Peach Bottom El Sch","1081 Atom Rd",,"Delta","PA","17314","9101","39.73219533","-76.31712522","http://delta.sesdweb.net","K5F-4","POINT (-76.31712522 39.73219533)"
